10

3 3 2 0
0 0 -> 2 2
2 0 -> 2 1

5 4 3 0
0 3 -> 2 2
1 1 -> 4 1
3 2 -> 4 0

5 5 4 1
0 0 -> 0 1
2 0 -> 1 3
2 2 -> 4 3
4 0 -> 4 2
2 1

8 4 4 0
1 0 -> 1 3
7 0 -> 3 2
3 1 -> 6 2
5 2 -> 7 3

5 6 2 1
2 2 -> 4 0
1 1 -> 3 0
4 5

5 7 3 2
0 0 -> 2 1
0 1 -> 0 6
4 0 -> 3 5
2 2
0 5

6 7 4 3
0 0 -> 1 3
2 4 -> 0 6
5 0 -> 5 2
4 4 -> 1 6
0 1
4 2
4 5

7 7 4 3
0 0 -> 2 2
2 4 -> 0 6
6 0 -> 4 4
4 2 -> 6 6
3 0
2 3
6 5

8 11 8 0
0 0 -> 2 7
1 0 -> 1 3
2 0 -> 0 5
3 0 -> 3 2
4 0 -> 7 6
5 0 -> 4 4
6 0 -> 6 2
7 0 -> 5 9

9 12 5 3
2 2 -> 0 8
5 1 -> 5 7
1 8 -> 7 10
4 4 -> 6 11
8 5 -> 7 7
2 8
2 9
8 3
